District 1 Chief,360 Saratoga St. East Boston,"42.379116,-71.0324131"
Engine 5,360 Saratoga St. East Boston,"42.379116,-71.0324131"
Engine 9,239 Sumner St. East Boston,"42.3680956,-71.0408635"
Ladder 2,239 Sumner St. East Boston,"42.3680956,-71.0408635"
Engine 56,1 Ashley St. East Boston,"42.3879572,-71.0060988"
Ladder 21,1 Ashley St. East Boston,"42.3879572,-71.0060988"
District 3 Chief,200 Cambridge St. Beacon Hill,"42.3608354,-71.0678593"
Engine 4,200 Cambridge St. Beacon Hill,"42.3608354,-71.0678593"
Ladder 24,200 Cambridge St. Beacon Hill,"42.3608354,-71.0678593"
Engine 8,392 Hanover St. North End,"42.365718,-71.0552797"
Ladder 1,392 Hanover St. North End,"42.365718,-71.0552797"
Engine 32,525 Main St. Charlestown,"42.3838496,-71.0738472"
Ladder 9,525 Main St. Charlestown,"42.3838496,-71.0738472"
Engine 50,34 Winthrop St. Charlestown,"42.3742955,-71.0631841"
Marine Unit,Burroughs Wharf North End,"42.366627, -71.049624"
District 4 Chief,200 Columbus Ave. Back Bay,"42.3489312,-71.0731916"
Engine 7,200 Columbus Ave. Back Bay,"42.3489312,-71.0731916"
Tower Ladder 17,200 Columbus Ave. Back Bay,"42.3489312,-71.0731916"
Engine 3 & Special Unit,618 Harrison Ave. South End ,"42.3400008,-71.0707369"
Engine 22 & Haz-Mat Unit,700 Tremont St. South End,"42.3404454,-71.0797699"
Engine 33,941 Boylston St. Back Bay ,"42.3480186,-71.0877482"
Ladder 15,941 Boylston St. Back Bay,"42.3480186,-71.0877482"
District 6 Chief,272 D St. South Boston,"42.3396016,-71.0526565"
Engine 39,272 D St. South Boston,"42.3396016,-71.0526565"
Ladder 18 & C-11,272 D St. South Boston,"42.3396016,-71.0526565"
Engine 2,700 East Fourth St. South Boston,"42.334873, -71.037102"
Ladder 19,700 East Fourth St. South Boston,"42.334873, -71.037102"
Engine 10,125 Purchase St. Downtown,"42.354968, -71.052865"
Rescue 1,125 Purchase St. Downtown,"42.354968, -71.052865"
Tower Ladder 3,125 Purchase St. Downtown,"42.354968, -71.052865"
District 11 Chief,138 Chestnut Hill Ave. Brighton,"42.3427276,-71.1556453"
Engine 29,138 Chestnut Hill Ave. Brighton,"42.3427276,-71.1556453"
Ladder 11,138 Chestnut Hill Ave. Brighton,"42.3427276,-71.1556453"
Engine 41,460 Cambridge St. Allston,"42.353739, -71.136205"
Ladder 14,460 Cambridge St. Allston,"42.353739, -71.136205"
Engine 51,425 Faneuil St. Brighton,"42.3513402,-71.1703823"
District 7 Chief,7 Parish St. Dorchester,"42.3078639,-71.0638163"
Engine 17,7 Parish St. Dorchester,"42.3078639,-71.0638163"
Ladder 7,7 Parish St. Dorchester,"42.3078639,-71.0638163"
Engine 21,641 Columbia Rd. Dorchester,"42.3183808,-71.0655465"
Engine 24,36 Washington St. Dorchester,"42.3074969,-71.0844357"
Ladder 23,36 Washington St. Dorchester,"42.3074969,-71.0844357"
Engine 14,174 Dudley St. Roxbury,"42.3287867,-71.0846258"
Ladder 4 & H-1,174 Dudley St. Roxbury,"42.3287867,-71.0846258"
District 8 Chief,9 Gallivan Blvd. Dorchester,"42.278276, -71.078897"
Engine 16,9 Gallivan Blvd. Dorchester,"42.278276, -71.078897"
Engine 18,1884 Dorchester Ave. Dorchester,"42.2865216,-71.0660509"
Ladder 6,1884 Dorchester Ave. Dorchester,"42.2865216,-71.0660509"
Engine 20,301 Neponset Ave. Dorchester,"42.2885647,-71.0500565"
Engine 52,975 Blue Hill Ave. Dorchester,"42.2909411,-71.0918404"
Ladder 29,975 Blue Hill Ave. Dorchester,"42.2909411,-71.0918404"
Fire Brigade,Long Island Boston Harbor,"42.321642, -70.965032"
District 9 Chief,1870 Columbus Ave. Roxbury,"42.3184486,-71.0999645"
Engine 42,1870 Columbus Ave. Roxbury,"42.3184486,-71.0999645"
Rescue 2,1870 Columbus Ave. Roxbury,"42.3184486,-71.0999645"
Engine 28,746 Centre St. Jamaica Plain,"42.3105946,-71.1169119"
Tower Ladder 10,746 Centre St. Jamaica Plain,"42.3105946,-71.1169119"
Engine 37,560 Huntington Ave. Roxbury,"42.3371279,-71.0982263"
Ladder 26,560 Huntington Ave. Roxbury,"42.3371279,-71.0982263"
Special Response Chief Z-1,560 Huntington Ave. Roxbury,"42.3371279,-71.0982263"
District 12 Chief,945 Canterbury St. Roslindale,"42.278988,-71.1196475"
Engine 53,945 Canterbury St. Roslindale,"42.278988,-71.1196475"
Ladder 16,945 Canterbury St. Roslindale,"42.278988,-71.1196475"
Engine 48,60 Fairmont Ave. Hyde Park,"42.2551071,-71.1220149"
Ladder 28,60 Fairmont Ave. Hyde Park,"42.2551071,-71.1220149"
Engine 55,5115 Washington St. West Roxbury,"42.2640259,-71.1570883"
Engine 30,1940 Centre St. West Roxbury ,"42.284028,-71.1586856"
Ladder 25,1940 Centre St. West Roxbury,"42.284028,-71.1586856"
Engine 49,209 Neponset Valley Pkwy Readville,"42.2367787,-71.1334751"